Date,Resting HR,Sleep Score,Stress,Body Battery High,Body Battery Low,Weight
2023-06-21,51,79,24,90,31,
2023-06-22,47,,19,94,49,
2023-06-23,48,91,25,100,29,
2023-06-24,50,81,31,83,16,
2023-06-25,48,80,29,79,21,
2023-06-26,53,81,27,72,28,
2023-06-27,51,89,22,89,38,
2023-06-28,49,84,28,94,23,
2023-06-29,48,72,41,84,5,
2023-06-30,53,75,25,49,6,
2023-07-01,48,90,19,100,38,
2023-07-02,52,82,29,81,17,53.2
2023-07-03,54,82,25,69,23,
2023-07-04,52,86,25,78,36,
2023-07-05,47,63,24,100,35,
2023-07-06,51,70,20,88,38,
2023-07-07,51,69,25,85,31,
2023-07-08,50,80,30,85,19,
2023-07-09,51,80,24,75,22,
2023-07-10,51,88,25,91,30,
2023-07-11,49,79,23,92,32,
2023-07-12,46,79,29,97,22,
2023-07-13,54,48,31,50,19,
2023-07-14,49,90,23,100,27,
2023-07-15,54,46,36,51,18,
2023-07-16,51,77,22,77,18,
2023-07-17,54,78,22,77,28,
2023-07-18,49,78,26,95,25,53.0
2023-07-19,49,74,31,88,21,
2023-07-20,50,80,22,88,30,
2023-07-21,47,76,21,100,41,
2023-07-22,48,79,25,97,31,
2023-07-23,49,71,25,93,26,
2023-07-24,51,70,27,63,26,
2023-07-25,53,39,34,70,15,
2023-07-26,49,71,30,72,15,
2023-07-27,46,85,16,100,21,
2023-07-28,45,85,21,100,33,
2023-07-29,48,78,51,90,8,
2023-07-30,53,49,28,43,6,
2023-07-31,50,82,24,93,33,
2023-08-01,50,83,26,92,33,
2023-08-02,47,84,28,98,25,
2023-08-03,53,79,26,83,30,
2023-08-04,46,88,20,100,33,
2023-08-05,48,83,26,97,30,
2023-08-06,50,83,36,90,11,
2023-08-07,52,70,26,67,18,
2023-08-08,50,82,22,93,25,
2023-08-09,51,82,30,84,18,
2023-08-10,47,80,24,84,22,52.299
2023-08-11,48,90,30,97,20,
2023-08-12,53,46,30,58,15,
2023-08-13,53,80,24,68,17,
2023-08-14,49,84,22,93,40,
2023-08-15,49,73,23,85,26,
2023-08-16,48,90,33,98,14,
2023-08-17,49,73,21,62,11,
2023-08-18,47,83,27,100,26,
2023-08-19,49,79,25,83,26,
2023-08-20,43,73,37,89,6,
2023-08-21,52,51,30,45,6,
2023-08-22,49,61,20,95,16,
2023-08-23,48,85,25,95,30,
2023-08-24,48,89,25,98,30,
2023-08-25,51,50,41,81,14,
2023-08-26,53,72,32,55,14,
2023-08-27,53,84,33,75,14,
2023-08-28,54,74,27,67,19,
2023-08-29,51,77,25,83,22,
2023-08-30,47,83,27,93,19,
2023-08-31,52,43,28,51,21,
2023-09-01,49,76,23,85,30,
2023-09-02,49,85,26,91,29,
2023-09-03,50,76,32,86,11,
2023-09-04,49,79,22,66,16,
2023-09-05,52,70,30,84,15,
2023-09-06,50,78,21,83,15,
2023-09-07,53,81,31,77,19,52.5
2023-09-08,54,83,32,71,19,
2023-09-09,49,91,25,93,21,
2023-09-10,53,77,32,82,11,
2023-09-11,50,66,21,62,11,
2023-09-12,51,82,25,91,28,
2023-09-13,49,90,23,92,30,
2023-09-14,49,76,25,88,26,
2023-09-15,49,73,26,70,28,
2023-09-16,51,85,22,89,36,
2023-09-17,50,80,34,89,12,
2023-09-18,49,78,23,74,16,
2023-09-19,50,90,21,90,38,
2023-09-20,44,88,24,100,24,
2023-09-21,42,84,20,100,33,
2023-09-22,42,86,21,100,36,
2023-09-23,42,75,23,96,22,
2023-09-24,43,87,46,100,5,
2023-09-25,48,41,26,36,5,
2023-09-26,46,87,21,98,29,
2023-09-27,48,77,23,84,26,
2023-09-28,49,81,25,77,28,
2023-09-29,43,80,24,98,30,
2023-09-30,45,86,20,100,34,
2023-10-01,46,88,26,97,29,
2023-10-02,46,76,25,84,25,
2023-10-03,43,81,24,98,26,
2023-10-04,42,77,24,96,25,
2023-10-05,46,78,27,84,26,51.9
2023-10-06,44,83,35,99,11,
2023-10-07,48,76,28,59,13,
2023-10-08,42,64,25,99,27,
2023-10-09,42,84,28,97,24,
2023-10-10,47,73,30,71,20,
2023-10-11,43,82,22,96,22,
2023-10-12,48,85,28,86,21,
2023-10-13,42,75,29,96,18,
2023-10-14,42,84,30,91,16,
2023-10-15,45,80,24,69,20,
2023-10-16,45,92,25,100,29,
2023-10-17,46,84,29,78,24,
2023-10-18,41,76,22,99,27,
2023-10-19,44,80,25,94,24,
2023-10-20,48,81,36,76,14,
2023-10-21,46,52,25,60,13,
2023-10-22,45,85,27,78,22,
2023-10-23,47,67,34,64,14,
2023-10-24,48,69,30,70,13,
2023-10-25,43,84,21,98,22,
2023-10-26,43,85,30,100,19,
2023-10-27,44,75,31,93,14,
2023-10-28,49,56,40,43,6,
2023-10-29,43,84,24,99,9,
2023-10-30,43,89,26,100,22,
2023-10-31,43,85,24,99,22,
2023-11-01,43,84,27,98,21,
2023-11-02,44,78,29,80,17,51.5
2023-11-03,44,86,30,93,20,
2023-11-04,47,84,31,80,24,
2023-11-05,42,82,36,95,8,
2023-11-06,48,66,30,52,7,
2023-11-07,46,80,23,89,18,
2023-11-08,43,85,25,100,26,
2023-11-09,46,83,27,90,25,
2023-11-10,44,83,29,92,19,
2023-11-11,44,92,32,93,16,
2023-11-12,46,81,29,68,20,
2023-11-13,42,85,31,99,15,
2023-11-14,40,85,30,93,14,
2023-11-15,44,78,27,87,13,
2023-11-16,45,85,27,92,26,
2023-11-17,40,90,24,100,28,
2023-11-18,44,87,38,94,15,
2023-11-19,47,42,34,42,5,
2023-11-20,44,79,35,72,9,
2023-11-21,48,58,34,38,6,
2023-11-22,46,80,28,78,10,
2023-11-23,45,85,32,88,14,
2023-11-24,48,82,31,71,17,
2023-11-25,47,84,35,81,16,
2023-11-26,47,84,35,73,11,
2023-11-27,53,42,38,38,5,
2023-11-28,50,84,29,57,5,
2023-11-29,49,78,33,68,22,
2023-11-30,50,67,36,62,8,
2023-12-01,51,41,44,30,7,
2023-12-02,49,79,33,55,12,
2023-12-03,54,46,52,33,5,
2023-12-04,56,78,43,37,7,
2023-12-05,53,79,45,42,6,
2023-12-06,55,,41,19,5,
2023-12-07,53,74,33,46,5,
2023-12-08,48,73,40,66,5,
2023-12-09,44,82,31,74,5,
2023-12-10,49,74,38,75,5,
2023-12-11,54,46,42,30,5,
2023-12-12,49,77,33,58,5,
2023-12-13,46,84,36,78,8,
2023-12-14,51,77,36,57,7,
2023-12-15,49,72,31,59,7,
2023-12-16,48,83,31,73,15,
2023-12-17,48,77,38,74,6,
2023-12-18,50,57,33,43,9,
2023-12-19,48,90,26,79,20,
2023-12-20,47,83,33,66,20,
2023-12-21,44,93,31,89,22,
2023-12-22,47,83,30,78,21,
2023-12-23,50,86,37,73,11,
2023-12-24,49,79,38,57,5,
2023-12-25,52,46,40,31,5,
2023-12-26,47,83,26,83,27,
2023-12-27,49,88,29,86,26,
2023-12-28,49,86,30,72,23,
2023-12-29,49,84,31,68,24,
2023-12-30,49,81,37,67,19,
2023-12-31,47,82,34,80,15,
2024-01-01,52,82,52,57,5,
2024-01-02,51,70,35,51,5,
2024-01-03,46,87,29,75,5,
2024-01-04,49,78,35,71,11,
